participantId,flatScreenParticipantPosComfortableX,flatScreenParticipantPosComfortableZ,flatScreenPosComfortableX,flatScreenPosComfortableZ,flatScreenScaleComfortableX,flatScreenScaleComfortableY,flatScreenScaleComfortableZ,flatScreenFontSizeComfortable,flatScreenDistanceToScreenComfortable,currentTextShownComfortable,flatScreenLineHeightComfortable,flatScreenAngularSizeComfortable,flatscreenDmmComfortable,flatScreenParticipantPosLineWidthX,flatScreenParticipantPosLineWidthZ,flatScreenDistanceToScreenLineWidth,flatScreenLineWidth,flatScreenAngularSizeLineWidth,flatScreenDMMLineWidth,flatScreenParticipantPosMinimumX,flatScreenParticipantPosMinimumZ,flatScreenPosMinimumX,flatScreenPosMinimumZ,flatScreenScaleMinimumX,flatScreenScaleMinimumY,flatScreenScaleMinimumZ,flatScreenFontSizeMinimum,flatScreenDistanceToScreenMinimum,currentTextShownMinimum,flatScreenLineHeightMinimum,flatScreenAngularSizeMinimum,flatscreenDmmMinimum,curvedScreenParticipantPosComfortableX,curvedScreenParticipantPosComfortableZ,curvedScreenPosComfortableX,curvedScreenPosComfortableZ,curvedScreenScaleComfortableX,curvedScreenScaleComfortableY,curvedScreenScaleComfortableZ,curvedScreenDistanceToScreenComfortable,curvedScreenLineWidthComfortable,curvedScreenLineHeightComfortable,curvedScreenAngularSizeComfortable,curvedscreenDmmComfortable,curvedScreenParticipantPosLineWidthX,curvedScreenParticipantPosLineWidthY,curvedScreenDistanceToScreenLineWidth,curvedScreenLineWidth,curvedScreenWidth,curvedScreenAngularSizeLineWidth,curvedScreenDMMLineWidth,curvedScreenParticipantPosMinimumX,curvedScreenParticipantPosMinimumZ,curvedScreenPosMinimumX,curvedScreenPosMinimumZ,curvedScreenScaleMinimumX,curvedScreenScaleMinimumY,curvedScreenScaleMinimumZ,curvedScreenDistanceToScreenMinimum,curvedScreenLineWidthMinimum,curvedScreenLineHeightMinimum,curvedScreenAngularSizeMinimum,curvedscreenDmmMinimum
0,-0.6813956,-1.406967,0,3,1,1,1,0.5489534,4.406967,0,0.0631,0.8203186,14.31824,-0.681609,-1.406936,4.406936,2,25.56956,453.8301,-0.6812828,-1.407121,0,3,1,1,1,0.4696325,4.407121,0,0.054,0.7020043,12.2529,-0.6811779,-1.407071,0,1.142998,0.6189985,0.6189985,0.6189985,4.407064,5,0.06189985,0.8047006,14.0456,-0.6810454,-1.407279,4.407271,5.6,2.403893,30.50936,545.438,-0.6813993,-1.407022,0,1.659001,0.4470007,0.4470007,0.4470007,4.407025,5.6,0.04470007,0.5811261,10.14291
1,-0.6845384,-1.43553,0,3,1,1,1,0.5534642,4.43553,0,0.0637,0.8227856,14.3613,-0.6850019,-1.434825,4.434825,2,25.414,450.9761,-0.6847622,-1.435494,0,3,1,1,1,0.4808082,4.435494,0,0.0553,0.7143043,12.46761,-0.6845526,-1.435535,0,1.235998,0.5879989,0.5879989,0.5879989,4.43553,5,0.05879989,0.7595007,13.25657,-0.6843795,-1.435566,4.435561,5.7,2.514276,31.64785,566.8451,-0.6848072,-1.435061,0,0.7019944,0.7659966,0.7659966,0.7659966,4.435045,6,0.07659966,0.9894828,17.27145
2,-0.6845465,-1.4359,0,3,1,1,1,0.5490056,4.4359,0,0.0631,0.8149688,14.22485,-0.6845979,-1.436068,4.436068,2.2,27.85316,495.9348,-0.6851553,-1.434928,0,3,1,1,1,0.4878437,4.434928,0,0.0561,0.7247292,12.64959,-0.6843967,-1.435983,0,1.154998,0.6149985,0.6149985,0.6149985,4.435976,5,0.06149985,0.7942911,13.86388,-0.6847449,-1.435452,4.435445,5.8,2.907176,36.2901,655.4418,-0.6848396,-1.435469,0,1.755002,0.4150011,0.4150011,0.4150011,4.435474,8,0.04150011,0.5360671,9.356409
3,-0.06346056,0.05061946,0,3,1,1,1,0.556847,2.949381,0,0.064,1.243093,21.69947,-0.08150594,0.06275441,2.937246,1.6,30.47149,544.7281,-0.07487015,0.07537337,0,3,1,1,1,0.3545346,2.924627,0,0.0408,0.7992529,13.9505,-0.05989638,0.06825418,0,0.9419961,0.6859976,0.6859976,0.6859976,2.931735,5,0.06859976,1.340421,23.39903,-0.08258515,0.07462898,2.92536,5,2.070996,38.98516,707.9457,-0.07288064,0.0620694,0,1.674001,0.4420007,0.4420007,0.4420007,2.937934,4.6,0.04420007,0.8619276,15.04461
5,0.1048183,0.04227257,0,3,1,1,1,0.5897871,2.957727,0,0.0678,1.313161,22.923,-0.02284122,0.08924007,2.91076,1.8,34.36297,618.3953,0.009223223,0.05783844,0,3,1,1,1,0.3070321,2.942162,1,0.0353,0.6874008,11.99798,0.1158292,0.06993127,0,1.075,0.5849989,0.5849989,0.5849989,2.760066,4,0.05849989,1.214208,21.19511,0.09619927,0.05341554,2.776582,5.1,2.150405,42.33677,774.4795,0.02310324,0.05498195,0,2.03,0.3940014,0.3940014,0.3940014,3.157022,4.8,0.03940014,0.7150232,12.48016
